id,sku,item_url,Ключевое слово # (#16),,
157,B10157,https://flower-club.ru/bukety/den-pobedy/buket-157,,,
158,B10158,https://flower-club.ru/bukety/den-materi/buket-158,,,
159,B10159,https://flower-club.ru/bukety/novyj-god/buket-159,,,
160,B10160,https://flower-club.ru/bukety/traurnye-bukety/buket-160,,,
161,B10161,https://flower-club.ru/bukety/den-materi/buket-161,,,
162,B10162,https://flower-club.ru/bukety/traurnye-bukety/buket-162,,,
163,B10163,https://flower-club.ru/bukety/8-marta/buket-163,,,
164,B10164,https://flower-club.ru/bukety/khellouin/buket-164,,,
165,B10165,https://flower-club.ru/bukety/8-marta/buket-165,,,
166,B10166,https://flower-club.ru/bukety/8-marta/buket-166,,,
167,B10167,https://flower-club.ru/bukety/buket-nevesty/buket-167,,,
168,B10168,https://flower-club.ru/bukety/8-marta/buket-168,,,
169,B10169,https://flower-club.ru/bukety/8-marta/buket-169,,,
170,B10170,https://flower-club.ru/bukety/buket-170,,,
171,B10171,https://flower-club.ru/bukety/buket-171,,,
172,B10172,https://flower-club.ru/bukety/novyj-god/buket-172,,,
173,B10173,https://flower-club.ru/bukety/8-marta/buket-173,,,
174,B10174,https://flower-club.ru/bukety/novyj-god/buket-174,,,
175,B10175,https://flower-club.ru/bukety/dekoratsii/buket-175,,,
176,B10176,https://flower-club.ru/bukety/buket-176,,,
177,B10177,https://flower-club.ru/bukety/buket-177,,,
178,B10178,https://flower-club.ru/bukety/den-rozhdeniya/buket-178,,,
179,B10179,https://flower-club.ru/bukety/buket-179,,,
180,B10180,https://flower-club.ru/bukety/novyj-god/buket-180,,,
181,B10181,https://flower-club.ru/bukety/buket-181,,,
182,B10182,https://flower-club.ru/bukety/buket-182,,,
183,B10183,https://flower-club.ru/bukety/novyj-god/buket-183,,,
184,B10184,https://flower-club.ru/bukety/blagodarnost/buket-184,,,
185,B10185,https://flower-club.ru/bukety/dekoratsii/buket-185,,,
186,B10186,https://flower-club.ru/bukety/buket-186,,,
187,B20001,https://flower-club.ru/bukety/buket-187,,,
188,B20002,https://flower-club.ru/bukety/buket-188,,,
189,B20003,https://flower-club.ru/bukety/buket-189,,,
190,B20004,https://flower-club.ru/bukety/8-marta/buket-190,,,
191,B20005,https://flower-club.ru/bukety/8-marta/buket-191,,,
192,B20006,https://flower-club.ru/bukety/8-marta/buket-192,,,
193,B20007,https://flower-club.ru/bukety/8-marta/buket-193,,,
194,B20008,https://flower-club.ru/bukety/8-marta/buket-194,,,
195,B20009,https://flower-club.ru/oformlenie/buket-195,,,
196,B20010,https://flower-club.ru/bukety/8-marta/buket-196,,,
197,B20011,https://flower-club.ru/bukety/8-marta/buket-197,,,
198,B20012,https://flower-club.ru/bukety/8-marta/buket-198,,,
199,B20013,https://flower-club.ru/bukety/8-marta/buket-199,,,
200,B20014,https://flower-club.ru/bukety/8-marta/buket-200,,,
201,B20015,https://flower-club.ru/bukety/8-marta/buket-201,,,
202,B20016,https://flower-club.ru/bukety/den-vlyublennykh/buket-202,,,
203,B20017,https://flower-club.ru/bukety/8-marta/buket-203,,,
204,B20018,https://flower-club.ru/bukety/8-marta/buket-204,,,
205,B20019,https://flower-club.ru/bukety/8-marta/buket-205,,,
206,B20020,https://flower-club.ru/bukety/8-marta/buket-206,,,
207,B20021,https://flower-club.ru/bukety/8-marta/buket-207,,,
208,B20022,https://flower-club.ru/bukety/8-marta/buket-208,,,
209,B20023,https://flower-club.ru/bukety/8-marta/buket-209,,,
210,B20024,https://flower-club.ru/bukety/8-marta/buket-210,,,
211,B20025,https://flower-club.ru/bukety/8-marta/buket-211,,,
212,B20026,https://flower-club.ru/bukety/8-marta/buket-212,,,
213,B20027,https://flower-club.ru/bukety/8-marta/buket-213,,,
214,B20028,https://flower-club.ru/bukety/8-marta/buket-214,,,
215,B20029,https://flower-club.ru/bukety/8-marta/buket-215,,,
216,B20030,https://flower-club.ru/bukety/8-marta/buket-216,,,
217,B20031,https://flower-club.ru/bukety/8-marta/buket-217,,,
218,B20032,https://flower-club.ru/bukety/8-marta/buket-218,,,
219,B20033,https://flower-club.ru/bukety/buket-219,,,
220,B20034,https://flower-club.ru/bukety/8-marta/buket-220,,,
221,B20035,https://flower-club.ru/bukety/8-marta/buket-221,,,
222,B20036,https://flower-club.ru/bukety/8-marta/buket-222,,,
